s,-0.21,0,0.73,
j,0.633076,-0.0451498,-0.00618325,0.249989,
j,0.633076,-0.0451708,-0.00618257,0.249989,
j,0.633076,-0.0452163,-0.00618189,0.249989,
j,0.633076,-0.0452857,-0.00618121,0.249989,
j,0.633076,-0.0453785,-0.00618053,0.249989,
j,0.633076,-0.045494,-0.00617985,0.249988,
j,0.633076,-0.0456313,-0.00617918,0.249988,
j,0.633076,-0.0457896,-0.0061785,0.249988,
j,0.633076,-0.0459678,-0.00617783,0.249988,
j,0.633076,-0.0461648,-0.00617716,0.249988,
j,0.633076,-0.0463794,-0.00617649,0.249988,
j,0.633076,-0.0466102,-0.00617582,0.249988,
j,0.633076,-0.046856,-0.00617515,0.249988,
j,0.633076,-0.0471153,-0.00617448,0.249988,
j,0.633076,-0.0473867,-0.00617382,0.249988,
j,0.633076,-0.0476685,-0.00617316,0.249988,
j,0.633076,-0.0479593,-0.00617249,0.249988,
j,0.633076,-0.0482574,-0.00617183,0.249988,
j,0.633076,-0.0485613,-0.00617117,0.249988,
j,0.633076,-0.0488692,-0.00617052,0.249988,
j,0.633076,-0.0491795,-0.00616986,0.249988,
j,0.633076,-0.0494907,-0.0061692,0.249988,
j,0.633076,-0.049801,-0.00616855,0.249988,
j,0.633076,-0.0501089,-0.00616789,0.249988,
j,0.633076,-0.0504127,-0.00616724,0.249988,
j,0.633076,-0.050711,-0.00616659,0.249988,
j,0.633076,-0.0510023,-0.00616594,0.249988,
j,0.633076,-0.0512851,-0.00616529,0.249988,
j,0.633076,-0.0515579,-0.00616464,0.249988,
j,0.633076,-0.0518195,-0.00616399,0.249988,
j,0.633076,-0.0520687,-0.00616335,0.249988,
j,0.633076,-0.0523042,-0.0061627,0.249988,
j,0.633076,-0.052525,-0.00616205,0.249988,
j,0.633076,-0.0527301,-0.00616141,0.249988,
j,0.633076,-0.0528928,-0.0061607,0.249989,
j,0.633076,-0.0529971,-0.00615998,0.249989,
j,0.633076,-0.0530516,-0.00615928,0.249989,
j,0.633076,-0.0530653,-0.0061586,0.249989,
j,0.633078,-0.0532283,-0.00602682,0.249982,
j,0.633092,-0.054114,-0.00547602,0.249965,
j,0.633139,-0.0561021,-0.00458025,0.249962,
j,0.633216,-0.0591632,-0.00348192,0.249965,
j,0.633317,-0.063135,-0.00225041,0.24997,
j,0.633434,-0.0678625,-0.000880322,0.249974,
j,0.633564,-0.0732561,0.000664957,0.249976,
j,0.633702,-0.0792471,0.00239829,0.249979,
j,0.633847,-0.085724,0.00429032,0.249982,
j,0.633993,-0.0925558,0.00632368,0.249986,
j,0.634135,-0.0996306,0.00849355,0.249988,
j,0.63427,-0.10678,0.0107387,0.249993,
j,0.634392,-0.113815,0.0130267,0.249996,
j,0.6345,-0.120563,0.0153229,0.250018,
j,0.63459,-0.126905,0.0176094,0.250216,
j,0.634662,-0.132774,0.0198833,0.250717,
j,0.634716,-0.138114,0.0221149,0.251651,
j,0.634755,-0.142875,0.0243229,0.252858,
j,0.634779,-0.14704,0.0265261,0.254082,
j,0.634791,-0.150616,0.028729,0.255125,
j,0.634793,-0.153627,0.0309338,0.255865,
j,0.634787,-0.156121,0.0331753,0.25606,
j,0.634774,-0.158152,0.0354037,0.255844,
j,0.634755,-0.159763,0.0376203,0.255306,
j,0.63473,-0.160997,0.0398399,0.25435,
