s,0,-0.1,0.73,
j,0.633142,-0.0476398,-0.00542935,0.266549,
j,0.633166,-0.0482697,-0.00515981,0.270127,
j,0.633199,-0.049006,-0.00483447,0.273581,
j,0.633238,-0.0498512,-0.00450596,0.277012,
j,0.633282,-0.0508093,-0.00406917,0.280356,
j,0.633338,-0.0518848,-0.00357861,0.283657,
j,0.633398,-0.053069,-0.00308873,0.287022,
j,0.633464,-0.0543556,-0.00249413,0.290375,
j,0.633539,-0.0557409,-0.00184886,0.293746,
j,0.633619,-0.0572096,-0.00120867,0.297224,
j,0.633699,-0.0587427,-0.000582246,0.300836,
j,0.633783,-0.0603293,0.000143608,0.304463,
j,0.633874,-0.0619641,0.000916906,0.308106,
j,0.633979,-0.0636758,0.00202767,0.311611,
j,0.634121,-0.0655173,0.00354542,0.314889,
j,0.634304,-0.0675245,0.00542604,0.318002,
j,0.634524,-0.0697252,0.00753926,0.321213,
j,0.634771,-0.072146,0.00992593,0.32473,
j,0.635047,-0.074816,0.0126365,0.328645,
j,0.635351,-0.0777681,0.0155537,0.333294,
j,0.635671,-0.0809832,0.018602,0.338721,
j,0.635999,-0.084419,0.0216457,0.344948,
j,0.636322,-0.0880135,0.0246081,0.351922,
j,0.636634,-0.0917003,0.0274756,0.359475,
j,0.636932,-0.0954271,0.0302453,0.367484,
j,0.637215,-0.0991527,0.0329162,0.375848,
j,0.637483,-0.102856,0.0354875,0.384558,
j,0.63774,-0.106539,0.0380814,0.393522,
j,0.637994,-0.110231,0.0407741,0.402711,
j,0.638249,-0.113982,0.0435746,0.412272,
j,0.638509,-0.117884,0.0464771,0.42261,
j,0.638773,-0.121994,0.0494737,0.433865,
j,0.639042,-0.12631,0.0525581,0.445803,
j,0.639314,-0.130812,0.0555975,0.458331,
j,0.639583,-0.13549,0.0586246,0.471357,
j,0.63985,-0.140329,0.0617028,0.484684,
j,0.640119,-0.145314,0.0648399,0.498166,
j,0.64039,-0.150452,0.0680303,0.511837,
j,0.640667,-0.155801,0.0716406,0.525584,
j,0.640969,-0.161423,0.0756787,0.539422,
