s,0.1,-0.2,0.7,
j,0.633071,-0.0521438,-0.00620736,0.249988,
j,0.633071,-0.0521438,-0.00620703,0.249988,
j,0.633071,-0.0521439,-0.00620669,0.249988,
j,0.633071,-0.0521439,-0.00620636,0.249988,
j,0.633071,-0.0521439,-0.00620603,0.249988,
j,0.633071,-0.0521439,-0.0062057,0.249988,
j,0.633071,-0.052144,-0.00620538,0.249988,
j,0.633071,-0.052144,-0.00620505,0.249988,
j,0.633071,-0.052144,-0.00620473,0.249988,
j,0.633071,-0.052144,-0.00620441,0.249988,
j,0.633071,-0.0521441,-0.00620409,0.249988,
j,0.633071,-0.0521441,-0.00620377,0.249988,
j,0.633071,-0.0521441,-0.00620346,0.249988,
j,0.633071,-0.0521441,-0.00620315,0.249988,
j,0.633071,-0.0521442,-0.00620283,0.249988,
j,0.633071,-0.0521442,-0.00620252,0.249988,
j,0.633071,-0.0521442,-0.00620222,0.249988,
j,0.633071,-0.0521442,-0.00620191,0.249988,
j,0.633071,-0.0521443,-0.0062016,0.249988,
j,0.633071,-0.0521443,-0.0062013,0.249988,
j,0.633071,-0.0521443,-0.006201,0.249988,
j,0.633071,-0.0521443,-0.0062007,0.249988,
j,0.633071,-0.0521443,-0.0062004,0.249988,
j,0.633071,-0.0521444,-0.00620011,0.249988,
j,0.633071,-0.0521444,-0.00619981,0.249988,
j,0.633071,-0.0521444,-0.00619952,0.249988,
j,0.633071,-0.0521444,-0.00619923,0.249988,
j,0.633071,-0.0521445,-0.00619894,0.249988,
j,0.633071,-0.0521445,-0.00619865,0.249988,
j,0.633071,-0.0521445,-0.00619836,0.249988,
j,0.633071,-0.0521445,-0.00619808,0.249988,
j,0.63307,-0.0521445,-0.00619779,0.249988,
j,0.63307,-0.0521446,-0.00619751,0.249988,
j,0.63307,-0.0521446,-0.00619723,0.249988,
j,0.63307,-0.0521446,-0.00619695,0.249988,
j,0.63307,-0.0521446,-0.00619668,0.249988,
j,0.63307,-0.0521447,-0.0061964,0.249988,
j,0.63307,-0.0521447,-0.00619613,0.249988,
j,0.63307,-0.0521447,-0.00619585,0.249988,
j,0.63309,-0.0519921,-0.00574196,0.250045,
j,0.633162,-0.0515982,-0.00475458,0.250653,
j,0.633294,-0.0509913,-0.0032921,0.252289,
j,0.633495,-0.050164,-0.00121817,0.255178,
j,0.633768,-0.0491129,0.00122575,0.259046,
j,0.634092,-0.0478717,0.00388573,0.263467,
j,0.634456,-0.0464939,0.00673905,0.26823,
j,0.634857,-0.0450352,0.00977888,0.273203,
j,0.635285,-0.0435518,0.0128487,0.278082,
j,0.635731,-0.0421158,0.0160163,0.282904,
j,0.636203,-0.0407974,0.0193466,0.28799,
j,0.636697,-0.0396437,0.0226926,0.293252,
j,0.637206,-0.0386997,0.0261205,0.298765,
j,0.637729,-0.0380084,0.0295463,0.304601,
j,0.638263,-0.0376051,0.0330422,0.310918,
j,0.638814,-0.0375142,0.0366751,0.318022,
j,0.639389,-0.037728,0.0404502,0.325939,
j,0.639988,-0.0382496,0.0443618,0.334772,
j,0.640602,-0.0390802,0.0482561,0.344339,
j,0.641221,-0.0402271,0.0521867,0.354637,
j,0.641856,-0.0416964,0.0563608,0.366132,
j,0.64252,-0.0434704,0.0607212,0.378916,
j,0.643206,-0.0455357,0.0651848,0.392852,
j,0.643907,-0.047889,0.0697254,0.407888,
j,0.644616,-0.0505323,0.0743253,0.424014,
j,0.645338,-0.0534567,0.0791081,0.441397,
j,0.646071,-0.0566447,0.08387,0.459733,
j,0.646797,-0.0600939,0.0885657,0.478776,
j,0.647514,-0.0637968,0.0932379,0.498518,
j,0.648222,-0.0677422,0.097882,0.518943,
j,0.648919,-0.0719362,0.102481,0.54018,
j,0.649604,-0.0763875,0.107015,0.562373,
j,0.650275,-0.0810936,0.11147,0.585572,
j,0.650931,-0.0860459,0.11583,0.609777,
j,0.651569,-0.0912314,0.120081,0.634959,
j,0.652194,-0.096614,0.124339,0.661209,
j,0.652809,-0.102198,0.12844,0.688496,
j,0.653404,-0.107966,0.132446,0.71681,
j,0.653988,-0.113863,0.136387,0.745992,
j,0.654558,-0.119858,0.140201,0.775821,
j,0.655109,-0.125997,0.143744,0.806437,
j,0.655633,-0.132336,0.147021,0.838197,
j,0.656127,-0.138852,0.150001,0.870762,
j,0.656589,-0.145485,0.152736,0.903704,
j,0.657022,-0.15217,0.155208,0.936508,
j,0.657424,-0.15889,0.157357,0.968922,
j,0.657793,-0.165646,0.159176,1.00096,
j,0.658129,-0.172375,0.160684,1.03214,
j,0.658432,-0.179026,0.161904,1.06219,
j,0.658707,-0.185512,0.162967,1.09094,
j,0.658965,-0.191779,0.163893,1.11835,
j,0.659207,-0.197792,0.164644,1.14427,
j,0.659433,-0.203512,0.165216,1.1685,
j,0.659643,-0.208914,0.165622,1.19099,
j,0.65984,-0.213979,0.165879,1.21175,
j,0.660026,-0.218696,0.166007,1.23082,
j,0.660204,-0.223082,0.166028,1.24852,
j,0.660376,-0.227101,0.166063,1.26501,
j,0.660553,-0.23074,0.166126,1.28043,
j,0.660734,-0.234011,0.166172,1.29478,
j,0.660917,-0.23692,0.166182,1.30791,
j,0.661103,-0.239504,0.166159,1.32007,
j,0.661292,-0.241789,0.166104,1.33131,
j,0.661485,-0.243771,0.166117,1.34184,
j,0.661689,-0.245467,0.166207,1.35189,
j,0.661905,-0.246925,0.16632,1.36158,
j,0.662128,-0.248166,0.166429,1.37074,
j,0.662358,-0.249226,0.166522,1.37939,
j,0.662593,-0.250151,0.166597,1.38774,
j,0.662831,-0.250958,0.166652,1.39565,
j,0.663072,-0.251637,0.166786,1.40322,
j,0.663322,-0.252198,0.167004,1.41063,
j,0.663584,-0.252701,0.167247,1.4182,
j,0.663856,-0.253157,0.167591,1.42629,
j,0.664139,-0.253517,0.168122,1.43477,
j,0.66444,-0.25379,0.168773,1.44363,
j,0.664753,-0.254013,0.169448,1.45272,
j,0.665075,-0.254166,0.170196,1.46184,
j,0.665404,-0.254232,0.170994,1.47063,
j,0.665741,-0.254248,0.171769,1.47901,
j,0.666082,-0.254274,0.172493,1.48738,
j,0.666424,-0.254326,0.173155,1.49561,
j,0.666765,-0.254433,0.173751,1.50383,
j,0.667102,-0.254602,0.174281,1.51193,
j,0.667436,-0.254852,0.174749,1.52004,
j,0.667767,-0.255194,0.175162,1.52831,
j,0.668092,-0.25561,0.175517,1.53639,
j,0.668411,-0.25608,0.175812,1.54397,
j,0.668724,-0.256608,0.176052,1.55117,
j,0.669032,-0.257188,0.17624,1.558,
j,0.669334,-0.257804,0.176378,1.56429,
j,0.66963,-0.258446,0.176469,1.57002,
j,0.669922,-0.259105,0.176515,1.57519,
j,0.670208,-0.259772,0.176524,1.57985,
j,0.67049,-0.260395,0.176593,1.58402,
j,0.670774,-0.260943,0.176729,1.58774,
j,0.671063,-0.261376,0.176969,1.59104,
j,0.671358,-0.261678,0.177294,1.59395,
j,0.671663,-0.261835,0.177733,1.59674,
j,0.671978,-0.261798,0.178352,1.59945,
j,0.672307,-0.261565,0.179077,1.60192,
j,0.672648,-0.261175,0.179813,1.6041,
j,0.672995,-0.260582,0.180702,1.60596,
j,0.673356,-0.259771,0.181733,1.6075,
j,0.673731,-0.258759,0.182871,1.60873,
j,0.67412,-0.257588,0.184065,1.60992,
j,0.674519,-0.256277,0.185327,1.6111,
j,0.674928,-0.254805,0.186709,1.61213,
j,0.67535,-0.253161,0.188231,1.61294,
j,0.675786,-0.25131,0.189991,1.61375,
j,0.676245,-0.24924,0.191994,1.61479,
